"","Pressure"
"1",126.5625
"2",150.9375
"3",158.5938
"4",132.3438
"5",141.0938
"6",141.0938
"7",148.4375
"8",146.7188
"9",146.7188
"10",133.4375
"11",219.2188
"12",152.1875
"13",150.1563
"14",150.4688
"15",150.4688
"16",150.4688
"17",150.1563
"18",170
"19",133.125
"20",148.2813
"21",152.9688
"22",152.9688
"23",161.4063
"24",161.4063
"25",164.8438
"26",141.0938
"27",148.75
"28",148.5938
"29",148.5938
"30",135.7813
"31",155
"32",143.2813
"33",149.8438
"34",149.8438
"35",140.9375
"36",140.4688
"37",140.4688
"38",145.1563
"39",140.9375
"40",176.4063
"41",154.5313
"42",147.9688
"43",148.125
"44",148.125
"45",153.5938
"46",137.9688
"47",143.2813
"48",147.9688
"49",134.8438
"50",135
"51",142.3438
"52",142.9688
"53",142.9688
"54",147.8125
"55",159.2188
"56",150.625
"57",150.4688
"58",162.1875
"59",145.3125
"60",149.8438
"61",138.2813
"62",136.4063
"63",136.4063
"64",145.4688
"65",148.9063
"66",145.1563
"67",145.1563
"68",145.4688
"69",154.5313
"70",139.5313
"71",139.6875
"72",147.3438
"73",155.9375
"74",146.5625
"75",155.625
"76",170.9375
"77",171.0938
"78",162.1875
"79",145.7813
"80",145.7813
"81",153.2813
"82",149.2188
"83",141.4063
"84",141.25
"85",160.4688
"86",151.875
"87",139.2188
"88",155.4688
"89",148.4375
"90",148.4375
"91",148.4375
"92",158.4375
"93",143.75
"94",147.9688
"95",138.75
"96",228.75
"97",228.5938
"98",149.2188
"99",149.2188
"100",162.6563
"101",144.2188
"102",149.5313
"103",154.6875
"104",160.7813
"105",160.7813
"106",165.3125
"107",140.1563
"108",145.1563
"109",145.1563
"110",145.1563
"111",134.5313
"112",134.5313
"113",152.5
"114",157.1875
"115",145.1563
"116",175.7813
"117",164.5313
"118",164.5313
"119",164.6875
"120",142.9688
"121",196.0938
"122",140.9375
"123",140.625
"124",136.4063
"125",136.4063
"126",259.375
"127",157.3438
"128",180.4688
"129",180.4688
"130",162.3438
"131",153.2813
"132",159.2188
"133",159.375
"134",140.9375
"135",158.2813
"136",143.4375
"137",143.4375
"138",165.1563
"139",149.2188
"140",149.375
"141",142.3438
"142",154.5313
"143",152.8125
"144",136.4063
"145",144.2188
"146",144.2188
"147",144.2188
"148",133.5938
"149",144.2188
"150",138.5938
"151",158.2813
"152",142.8125
"153",142.8125
"154",153.4375
"155",153.4375
"156",163.5938
"157",163.5938
"158",147.8125
"159",143.125
"160",143.125
"161",141.7188
"162",182.3438
"163",147.8125
"164",143.5938
"165",146.4063
"166",146.4063
"167",146.4063
"168",148.9063
"169",149.2188
"170",139.375
"171",161.0938
"172",140.3125
"173",140.3125
"174",126.5625
"175",132.9688
"176",132.9688
"177",304.8438
"178",149.2188
"179",141.875
"180",140.625
"181",140.4688
"182",138.4375
"183",135.1563
"184",156.0938
"185",156.0938
"186",128.5938
"187",146.4063
"188",146.5625
"189",133.9063
"190",147.1875
"191",146.25
"192",125.3125
"193",144.8438
"194",144.8438
"195",144.8438
"196",154.5313
"197",152.5
"198",147.5
"199",147.5
"200",173.2813
"201",173.2813
"202",135.4688
"203",141.0938
"204",141.0938
"205",155.3125
"206",132.6563
"207",141.25
"208",141.25
"209",141.7188
"210",142.9688
"211",134.2188
"212",156.875
"213",124.8438
"214",124.8438
"215",137.3438
"216",137.3438
"217",148.4375
"218",136.0938
"219",154.375
"220",147.3438
"221",127.5
"222",126.875
"223",126.875
"224",146.0938
"225",159.0625
"226",137.3438
"227",145.625
"228",127.6563
"229",127.5
"230",140.3125
"231",134.2188
"232",154.2188
"233",154.2188
"234",138.125
"235",148.75
"236",148.5938
"237",147.5
"238",141.0938
"239",144.2188
"240",142.9688
"241",131.0938
"242",131.0938
"243",131.0938
"244",143.125
"245",156.5625
"246",146.875
"247",129.8438
"248",155.1563
"249",147.6563
"250",147.6563
"251",138.75
"252",138.75
"253",138.5938
"254",151.25
"255",150.625
"256",138.75
"257",138.5938
"258",141.5625
"259",141.875
"260",141.7188
"261",141.7188
"262",127.8125
"263",157.0313
"264",157.0313
"265",161.0938
"266",176.5625
"267",147.6563
"268",144.0625
"269",149.0625
"270",149.0625
"271",149.0625
"272",154.2188
"273",154.375
"274",153.75
"275",137.3438
"276",144.8438
"277",144.8438
"278",141.0938
"279",133.9063
"280",148.9063
"281",148.9063
"282",128.9063
"283",150.7813
"284",150.7813
"285",132.3438
"286",143.75
"287",136.0938
"288",129.5313
"289",148.125
"290",148.125
"291",147.9688
"292",143.5938
"293",132.9688
"294",133.125
"295",130.1563
"296",148.2813
"297",150.7813
"298",150.7813
"299",166.25
"300",166.25
"301",162.0313
"302",173.9063
"303",135.4688
"304",138.125
"305",138.125
"306",145.9375
"307",144.6875
"308",138.4375
"309",138.4375
"310",140
"311",146.875
"312",146.875
"313",151.7188
"314",138.2813
"315",145.3125
"316",137.0313
"317",155.1563
"318",155.1563
"319",155.1563
"320",148.75
"321",133.2813
"322",130.1563
"323",144.8438
"324",128.2813
"325",124.8438
"326",124.5313
"327",134.6875
"328",134.6875
"329",153.2813
"330",149.0625
"331",146.875
"332",136.25
"333",135.7813
"334",150.625
"335",127.3438
"336",134.0625
"337",134.0625
"338",149.2188
"339",147.9688
"340",147.9688
"341",157.6563
"342",130
"343",138.9063
"344",133.125
"345",149.375
"346",149.375
"347",149.375
"348",207.9688
"349",142.9688
"350",151.7188
"351",141.25
"352",130.9375
"353",135.9375
"354",143.75
"355",133.5938
"356",133.5938
"357",158.125
"358",147.8125
"359",167.0313
"360",166.5625
"361",128.5938
"362",151.25
"363",136.875
"364",145.625
"365",132.0313
"366",132.0313
"367",132.3438
"368",132.3438
"369",142.9688
"370",150.7813
"371",135.3125
"372",160.3125
"373",124.8438
"374",124.8438
"375",124.8438
"376",117.0313
"377",107.3438
"378",105.1563
"379",109.0625
"380",136.5625
"381",139.5313
"382",139.5313
"383",139.5313
"384",154.8438
"385",147.1875
"386",149.375
"387",122.3438
"388",136.25
"389",136.0938
"390",199.0625
"391",178.9063
"392",134.6875
"393",134.6875
"394",141.4063
"395",150.7813
"396",150.7813
"397",146.5625
"398",138.5938
"399",142.8125
"400",141.0938
"401",237.3438
"402",237.3438
"403",237.3438
"404",143.2813
"405",130.625
"406",138.9063
"407",159.0625
"408",172.0313
"409",194.375
"410",195.9375
"411",150.9375
"412",150.9375
"413",158.9063
"414",148.75
"415",131.7188
"416",150.4688
"417",150.3125
"418",176.4063
"419",151.25
"420",145
"421",145
"422",143.125
"423",137.9688
"424",137.9688
"425",134.8438
"426",135.7813
"427",156.875
"428",141.875
"429",137.5
"430",137.5
"431",137.5
"432",146.875
"433",143.75
"434",145.1563
"435",136.25
"436",132.5
"437",132.5
"438",129.2188
"439",143.75
"440",143.75
"441",131.7188
"442",146.4063
"443",146.875
"444",151.25
"445",140.9375
"446",142.9688
"447",142.9688
"448",155.9375
"449",155.9375
"450",147.0313
"451",147.0313
"452",144.5313
"453",131.25
"454",119.5313
"455",147.3438
"456",145.625
"457",145.625
"458",145.625
"459",157.5
"460",157.9688
"461",128.125
"462",126.875
"463",195.625
"464",195.7813
"465",145.9375
"466",132.9688
"467",133.4375
"468",133.4375
"469",144.375
"470",128.75
"471",122.3438
"472",120.7813
"473",133.75
"474",131.7188
"475",138.2813
"476",124.8438
"477",124.8438
"478",125
"479",125.4688
"480",127.6563
"481",144.375
"482",142.3438
"483",130.3125
"484",199.8438
"485",199.8438
"486",199.8438
"487",129.8438
"488",125.1563
"489",213.75
"490",129.5313
"491",135.9375
"492",135.7813
"493",133.9063
"494",145.7813
"495",141.875
"496",141.875
"497",145.4688
"498",138.125
"499",138.125
"500",128.75
"501",138.9063
"502",146.875
"503",149.375
"504",138.4375
"505",138.4375
"506",138.5938
"507",131.5625
"508",177.8125
"509",142.3438
"510",233.4375
"511",199.0625
"512",132.8125
"513",131.5625
"514",215.7813
"515",215.7813
"516",150
"517",256.7188
"518",212.8125
"519",134.6875
"520",134.6875
"521",207.8125
"522",135.1563
"523",152.3438
"524",152.3438
"525",136.25
"526",144.5313
"527",144.6875
"528",245.625
"529",133.2813
"530",170.625
"531",120.625
"532",209.0625
"533",209.0625
"534",209.0625
"535",140
"536",161.7188
"537",178.4375
"538",156.0938
"539",131.4063
"540",132.8125
"541",133.125
"542",146.7188
"543",146.7188
"544",229.375
"545",185.1563
"546",143.75
"547",146.4063
"548",146.4063
"549",132.6563
"550",140.3125
"551",145.7813
"552",134.5313
"553",134.5313
"554",131.5625
"555",131.5625
"556",127.6563
"557",145.9375
"558",218.2813
"559",243.2813
"560",144.5313
"561",144.5313
"562",144.5313
"563",206.5625
"564",163.75
"565",156.4063
"566",142.6563
"567",144.375
"568",144.5313
"569",153.75
"570",150.7813
"571",156.0938
"572",156.0938
"573",148.75
"574",156.875
"575",159.8438
"576",160
"577",158.9063
"578",159.5313
"579",139.8438
"580",215.625
"581",215.625
"582",190.1563
"583",190.1563
"584",225.4688
"585",135.7813
"586",148.9063
"587",142.0313
"588",157.9688
"589",157.9688
"590",157.8125
"591",157.8125
"592",141.4063
"593",218.5938
"594",223.9063
"595",230
"596",230
"597",160.625
"598",161.875
"599",269.5313
"600",269.5313
"601",199.375
"602",165.4688
"603",194.6875
"604",247.0313
"605",155.7813
"606",172.8125
"607",153.125
"608",164.0625
"609",164.0625
"610",240.3125
"611",240.3125
"612",139.375
"613",121.7188
"614",205.7813
"615",162.6563
"616",159.6875
"617",159.6875
"618",272.9688
"619",272.9688
"620",153.75
"621",157.9688
"622",169.2188
"623",175.4688
"624",175.3125
"625",152.0313
"626",157.5
"627",152.3438
"628",152.3438
"629",152.5
"630",162.9688
"631",162.8125
"632",140.9375
"633",222.3438
"634",153.2813
"635",160.4688
"636",152.1875
"637",130.3125
"638",130.3125
"639",130.1563
"640",256.25
"641",276.875
"642",245.4688
"643",264.375
"644",273.5938
"645",273.75
"646",154.0625
"647",154.0625
"648",150.7813
"649",145.3125
"650",154.5313
"651",141.875
"652",141.875
"653",166.25
"654",202.0313
"655",145.3125
"656",261.0938
"657",261.0938
"658",138.4375
"659",138.2813
"660",142.0313
"661",156.0938
"662",167.9688
"663",146.0938
"664",159.0625
"665",159.2188
"666",159.2188
"667",160.4688
"668",157.8125
"669",157.1875
"670",150.3125
"671",146.5625
"672",151.4063
"673",155.625
"674",160.1563
"675",158.125
"676",158.125
"677",153.5938
"678",223.5938
"679",245.625
"680",245.625
"681",143.125
"682",157.6563
"683",210.3125
"684",153.4375
"685",153.4375
"686",152.6563
"687",152.6563
"688",148.2813
"689",179.5313
"690",146.5625
"691",241.4063
"692",174.5313
"693",169.2188
"694",169.2188
"695",154.2188
"696",146.875
"697",157.0313
"698",261.25
"699",219.375
"700",163.4375
"701",163.2813
"702",150.4688
"703",151.7188
"704",151.7188
"705",139.0625
"706",166.0938
"707",161.25
"708",161.25
"709",274.2188
"710",151.875
"711",231.875
"712",138.2813
"713",138.2813
"714",161.0938
"715",161.0938
"716",150.9375
"717",149.2188
"718",163.125
"719",284.6875
"720",229.2188
"721",229.2188
"722",229.2188
"723",173.2813
"724",140.625
"725",141.7188
"726",182.5
"727",175.7813
"728",160.4688
"729",159.6875
"730",159.6875
"731",163.5938
"732",163.5938
"733",157.6563
"734",158.75
"735",150.3125
"736",150.4688
"737",206.25
"738",153.125
"739",178.5938
"740",206.0938
"741",206.0938
"742",154.2188
"743",154.2188
"744",167.0313
"745",158.5938
"746",166.25
"747",280.3125
"748",174.5313
"749",174.375
"750",174.375
"751",182.6563
"752",151.7188
"753",237.3438
"754",162.3438
"755",149.375
"756",162.3438
"757",163.5938
"758",150.7813
"759",188.9063
"760",188.9063
"761",147.9688
"762",155.7813
"763",189.5313
"764",189.5313
"765",146.0938
"766",158.9063
"767",154.8438
"768",241.25
"769",241.25
"770",165.7813
"771",165.9375
"772",165
"773",161.875
"774",145
"775",139.2188
"776",271.875
"777",271.875
"778",177.1875
"779",177.1875
"780",174.0625
"781",257.1875
"782",158.5938
"783",153.125
"784",153.125
"785",159.2188
"786",296.25
"787",134.6875
"788",134.6875
"789",150.9375
"790",230.4688
"791",154.6875
"792",154.375
"793",162.8125
"794",167.1875
"795",250.1563
"796",152.8125
"797",146.7188
"798",146.7188
"799",146.5625
"800",146.5625
"801",149.5313
"802",135
"803",145
"804",179.8438
"805",179.6875
"806",152.1875
"807",152.1875
"808",172.5
"809",158.4375
"810",145.7813
"811",152.3438
"812",152.3438
"813",163.5938
"814",166.0938
"815",146.25
"816",153.9063
"817",153.9063
"818",160.3125
"819",184.0625
"820",196.0938
"821",147.8125
"822",160.625
"823",173.2813
"824",154.375
"825",159.2188
"826",159.2188
"827",170.1563
"828",146.4063
"829",151.875
"830",153.5938
"831",176.5625
"832",176.5625
"833",176.5625
"834",151.7188
"835",145.7813
"836",150.9375
"837",145.4688
"838",171.0938
"839",171.0938
"840",157.3438
"841",147.9688
"842",165.9375
"843",234.5313
"844",234.5313
"845",170.9375
"846",171.0938
"847",158.75
"848",150.3125
"849",147.3438
"850",145.1563
"851",177.1875
"852",177.3438
"853",164.2188
"854",164.2188
"855",223.9063
"856",139.2188
"857",157.6563
"858",169.0625
"859",254.6875
"860",257.5
"861",150.4688
"862",152.8125
"863",152.8125
"864",152.6563
"865",150
"866",210.9375
"867",211.0938
"868",171.4063
"869",162.6563
"870",131.4063
"871",123.4375
"872",123.4375
"873",122.9688
"874",123.4375
"875",129.6875
"876",119.5313
"877",114.8438
"878",114.8438
"879",122.1875
"880",151.7188
"881",152.8125
"882",152.8125
"883",143.125
"884",153.9063
"885",184.0625
"886",147.8125
"887",156.0938
"888",156.25
"889",159.2188
"890",149.2188
"891",149.2188
"892",165.7813
"893",179.5313
"894",138.2813
"895",138.2813
"896",152.5
"897",153.2813
"898",160.9375
"899",179.0625
"900",179.0625
"901",143.2813
"902",143.4375
"903",133.9063
"904",213.5938
"905",142.9688
"906",140.1563
"907",160.625
"908",160.7813
"909",160.9375
"910",160.9375
"911",232.8125
"912",163.5938
"913",227.1875
"914",159.6875
"915",162.5
"916",173.9063
"917",159.0625
"918",192.6563
"919",192.6563
"920",146.5625
"921",164.375
"922",141.5625
"923",141.5625
"924",147.1875
"925",156.0938
"926",193.4375
"927",156.25
"928",155.625
"929",155.625
"930",155.4688
"931",164.0625
"932",180.1563
"933",172.0313
"934",159.6875
"935",250.625
"936",250.625
"937",148.4375
"938",148.4375
"939",196.5625
"940",165
"941",153.5938
"942",145
"943",145
"944",159.8438
"945",275.7813
"946",159.0625
"947",156.0938
"948",156.0938
"949",141.7188
"950",183.5938
"951",184.375
"952",160.7813
"953",146.5625
"954",152.8125
"955",154.8438
"956",145.1563
"957",145.1563
"958",145
"959",154.5313
"960",156.875
"961",206.7188
"962",136.7188
"963",160.3125
"964",160.3125
"965",155.1563
"966",160.7813
"967",160.7813
"968",152.5
"969",157.5
"970",165.4688
"971",165.4688
"972",140.1563
"973",147.5
"974",144.0625
"975",162.5
"976",162.5
"977",182.8125
"978",192.1875
"979",270.1563
"980",146.0938
"981",140.7813
"982",150.625
"983",146.0938
"984",147.8125
"985",147.8125
"986",147.8125
"987",144.0625
"988",145.4688
"989",155.625
"990",145.625
"991",133.2813
"992",133.2813
"993",150.3125
"994",134.0625
"995",134.0625
"996",140.1563
"997",149.375
"998",146.7188
"999",146.875
"1000",150
"1001",142.0313
"1002",147.8125
"1003",130.9375
"1004",146.875
"1005",146.875
"1006",146.875
"1007",143.9063
"1008",149.6875
"1009",151.25
"1010",141.5625
"1011",229.2188
"1012",154.375
"1013",152.8125
"1014",152.8125
"1015",251.25
"1016",141.0938
"1017",136.5625
"1018",152.0313
"1019",156.5625
"1020",156.875
"1021",137.0313
"1022",143.2813
"1023",143.2813
"1024",146.25
