campaign_date,Campaign_Name,PRODUCT_ID,spend,impressions,Clicks
2023-12-01,summer_campaign_2023,PRD01527,4247.35,77358,203
2023-12-02,summer_campaign_2023,PRD01324,3262.48,30723,150
2023-12-03,summer_campaign_2023,PRD00841,500.49,94551,276
2023-12-04,summer_campaign_2023,PRD01253,3369.18,68033,460
2023-12-05,summer_campaign_2023,PRD00548,300.73,5528,62
2023-12-06,summer_campaign_2023,PRD01782,2125.86,39750,312
2023-12-07,summer_campaign_2023,PRD00615,2875.98,90207,551
2023-12-08,summer_campaign_2023,PRD00269,1265.28,81799,476
2023-12-09,summer_campaign_2023,PRD01461,4921.25,54494,348
2023-12-10,summer_campaign_2023,PRD00717,177.27,95937,404
2023-12-11,summer_campaign_2023,PRD00770,4928.92,94093,802
2023-12-12,summer_campaign_2023,PRD00579,3773.85,68489,281
2023-12-13,summer_campaign_2023,PRD01660,1289.47,87791,856
2023-12-14,summer_campaign_2023,PRD01665,274.79,41012,522
2023-12-15,summer_campaign_2023,PRD00168,3672.71,68209,22
2023-12-16,summer_campaign_2023,PRD00786,3761.11,92660,45
2023-12-17,summer_campaign_2023,PRD01994,3497.67,63435,969
2023-12-18,summer_campaign_2023,PRD00429,3409.6,62376,111
2023-12-19,summer_campaign_2023,PRD00275,2041.83,84940,245
2023-12-20,summer_campaign_2023,PRD01379,1133.96,33352,913
2023-12-21,summer_campaign_2023,PRD00315,4060.51,37779,266
2023-12-22,summer_campaign_2023,PRD00298,483.29,94945,196
2023-12-23,summer_campaign_2023,PRD00690,919.24,21348,950
2023-12-24,summer_campaign_2023,PRD01519,3930.67,56712,748
2023-12-25,summer_campaign_2023,PRD00989,4037.77,80813,725
2023-12-26,summer_campaign_2023,PRD01862,3744.51,29823,263
2023-12-27,summer_campaign_2023,PRD00533,479.34,76512,69
2023-12-28,summer_campaign_2023,PRD01741,2749.16,98019,134
2023-12-29,summer_campaign_2023,PRD01090,124.67,36444,587
2023-12-30,summer_campaign_2023,PRD01319,3631.25,81176,779
2023-12-31,summer_campaign_2023,PRD00596,4991.01,32998,401
2024-01-01,summer_campaign_2023,PRD00484,3148.81,95124,302
2024-01-02,summer_campaign_2023,PRD00475,4961.24,35672,11
2024-01-03,summer_campaign_2023,PRD00444,3568.24,88801,649
2024-01-04,summer_campaign_2023,PRD01295,4099.49,84036,30
2024-01-05,summer_campaign_2023,PRD00455,4258.32,18158,234
2024-01-06,summer_campaign_2023,PRD00513,4016.09,73770,138
2024-01-07,summer_campaign_2023,PRD01614,707.2,93021,465
2024-01-08,summer_campaign_2023,PRD00503,3256.55,93315,257
2024-01-09,summer_campaign_2023,PRD01048,2334.9,9475,204
2024-01-10,summer_campaign_2023,PRD01707,1610.39,41214,244
2024-01-11,summer_campaign_2023,PRD01925,491.92,58202,728
2024-01-12,summer_campaign_2023,PRD01024,2535.97,12784,819
2024-01-13,summer_campaign_2023,PRD00691,2338.76,44459,435
2024-01-14,summer_campaign_2023,PRD01404,1261.97,29589,669
2024-01-15,summer_campaign_2023,PRD01130,1102.5,3247,943
2024-01-16,summer_campaign_2023,PRD01888,4343.2,98091,451
2024-01-17,summer_campaign_2023,PRD00315,4025.61,7687,276
2024-01-18,summer_campaign_2023,PRD00402,2288.79,39506,379
2024-01-19,summer_campaign_2023,PRD00104,2140.89,1339,679
2024-01-20,summer_campaign_2023,PRD01203,3060.02,29752,496
2024-01-21,summer_campaign_2023,PRD01210,3038.22,53059,152
2024-01-22,summer_campaign_2023,PRD00224,484.26,18546,715
2024-01-23,summer_campaign_2023,PRD01277,3774.86,45940,682
2024-01-24,summer_campaign_2023,PRD01563,2378.22,35150,134
2024-01-25,summer_campaign_2023,PRD01239,4893.68,56926,883
2024-01-26,summer_campaign_2023,PRD01298,1976.67,71783,470
2024-01-27,summer_campaign_2023,PRD01933,4820.05,2666,833
2024-01-28,summer_campaign_2023,PRD01147,1268.96,97877,706
2024-01-29,summer_campaign_2023,PRD00175,2407.72,26566,43
2024-01-30,summer_campaign_2023,PRD01819,3780.26,92884,143
2024-01-31,summer_campaign_2023,PRD01656,1081.96,42069,779
2024-02-01,summer_campaign_2023,PRD01047,1841.41,82719,643
2024-02-02,summer_campaign_2023,PRD01565,1056.23,75855,927
2024-02-03,summer_campaign_2023,PRD00430,2682.37,50430,59
2024-02-04,summer_campaign_2023,PRD01372,3612.13,64365,32
2024-02-05,summer_campaign_2023,PRD01616,406.35,32974,208
2024-02-06,summer_campaign_2023,PRD01914,3175.35,63326,132
2024-02-07,summer_campaign_2023,PRD00659,1338.28,35036,438
2024-02-08,summer_campaign_2023,PRD00875,2574.99,86716,366
2024-02-09,summer_campaign_2023,PRD01157,1852.0,54570,747
2024-02-10,summer_campaign_2023,PRD01230,1995.28,19462,76
2024-02-11,summer_campaign_2023,PRD00605,2509.35,27694,510
2024-02-12,summer_campaign_2023,PRD00707,1373.53,87676,266
2024-02-13,summer_campaign_2023,PRD00677,4791.61,50859,112
2024-02-14,summer_campaign_2023,PRD01125,2415.24,69040,104
2024-02-15,summer_campaign_2023,PRD00585,2081.87,21346,358
2024-02-16,summer_campaign_2023,PRD01395,4104.3,28476,379
2024-02-17,summer_campaign_2023,PRD01155,4754.46,94434,219
2024-02-18,summer_campaign_2023,PRD01459,2640.95,73375,230
2024-02-19,summer_campaign_2023,PRD01467,4536.91,56396,543
2024-02-20,summer_campaign_2023,PRD01606,3022.37,92680,956
2024-02-21,summer_campaign_2023,PRD00796,4544.01,53665,134
2024-02-22,summer_campaign_2023,PRD00239,2940.44,3567,340
2024-02-23,summer_campaign_2023,PRD01370,3464.57,34027,68
2024-02-24,summer_campaign_2023,PRD00081,3043.72,92704,405
2024-02-25,summer_campaign_2023,PRD00278,3978.65,35234,601
2024-02-26,summer_campaign_2023,PRD01486,1850.52,25575,668
2024-02-27,summer_campaign_2023,PRD01307,3067.69,97329,439
2024-02-28,summer_campaign_2023,PRD00120,1499.47,46675,488
2024-02-29,summer_campaign_2023,PRD00947,1588.89,69865,235
