Campaign,Date,ProductID,Spend
Winter Promo,2022-11-28,1080,855.59
Winter Promo,2022-12-25,1177,673.82
Winter Promo,2022-02-04,1198,816.4
Winter Promo,2022-01-24,1070,619.77
Winter Promo,2022-03-21,1016,851.71
Winter Promo,2022-03-16,1070,1390.13
Winter Promo,2022-02-02,1035,667.53
Winter Promo,2022-07-06,1145,917.61
Winter Promo,2022-10-15,1164,1063.35
Winter Promo,2022-03-14,1130,789.62
Winter Promo,2022-02-23,1011,1019.89
Winter Promo,2022-10-15,1058,538.91
Winter Promo,2022-06-25,1097,1008.06
Winter Promo,2022-06-25,1052,538.76
Winter Promo,2022-11-18,1014,1248.59
Winter Promo,2022-06-05,1006,1057.75
Winter Promo,2022-09-16,1186,1170.03
Winter Promo,2022-12-25,1020,1325.85
Winter Promo,2022-03-13,1145,1326.83
Winter Promo,2022-11-15,1061,965.74
Winter Promo,2022-02-27,1102,821.85
Winter Promo,2022-03-17,1151,1126.33
Winter Promo,2022-03-24,1039,1104.46
Winter Promo,2022-04-27,1019,749.84
Winter Promo,2022-02-21,1162,1543.3
Winter Promo,2022-05-25,1077,896.62
Winter Promo,2022-02-09,1127,851.08
Winter Promo,2022-12-24,1191,592.51
Winter Promo,2022-04-22,1020,422.79
Winter Promo,2022-10-21,1031,607.46
Winter Promo,2022-10-27,1084,623.64
Winter Promo,2022-09-15,1175,924.96
Winter Promo,2022-12-03,1186,1072.14
Winter Promo,2022-06-13,1134,329.3
Winter Promo,2022-08-09,1108,922.96
Winter Promo,2022-05-01,1179,1235.03
Winter Promo,2022-04-24,1129,960.27
Winter Promo,2022-02-18,1040,878.59
Winter Promo,2022-10-05,1130,1312.2
Winter Promo,2022-09-26,1044,1342.36
Winter Promo,2022-02-17,1149,757.36
Winter Promo,2022-05-27,1080,1183.12
Winter Promo,2022-12-25,1183,-1540.44
Winter Promo,2022-09-15,1198,597.28
Winter Promo,2022-10-04,1168,857.06
Winter Promo,2022-10-20,1178,1180.56
Winter Promo,2022-08-13,1004,690.77
Winter Promo,2022-05-07,1071,460.44
Winter Promo,2022-04-23,1013,569.7
Winter Promo,2022-02-09,1131,1190.28
Winter Promo,2022-04-16,1002,1285.59
Winter Promo,2022-02-13,1184,1322.78
Winter Promo,2022-11-11,1177,1038.06
Winter Promo,2022-08-13,1135,542.3
Winter Promo,2022-06-11,1060,1229.34
Winter Promo,2022-07-01,1043,1755.21
Winter Promo,2022-06-13,1149,973.95
Winter Promo,2022-05-26,1072,962.6
Winter Promo,2022-12-15,1038,-1066.94
Winter Promo,2022-08-08,1071,598.28
Winter Promo,2022-12-10,1020,1102.11
Winter Promo,2022-11-22,1064,-1215.34
Winter Promo,2022-11-08,1053,1253.64
Winter Promo,2022-06-04,1178,909.71
Winter Promo,2022-05-05,1138,1297.71
Winter Promo,2022-06-01,1169,1024.05
Winter Promo,2022-09-02,1071,1424.63
Winter Promo,2022-08-10,1083,1239.21
Winter Promo,2022-02-05,1099,836.58
Winter Promo,2022-04-14,1091,1020.95
Winter Promo,2022-07-06,1169,1006.45
Winter Promo,2022-08-28,1162,1009.17
Winter Promo,2022-04-14,1152,448.81
Winter Promo,2022-10-14,1173,858.38
Winter Promo,2022-09-07,1096,1182.56
Winter Promo,2022-01-21,1171,679.67
Winter Promo,2022-08-24,1047,1365.1
Winter Promo,2022-07-09,1133,991.05
Winter Promo,2022-12-01,1194,738.28
Winter Promo,2022-03-01,1144,1038.17
Winter Promo,2022-12-04,1031,998.75
Winter Promo,2022-04-09,1130,800.28
Winter Promo,2022-11-14,1018,1180.85
Winter Promo,2022-03-16,1133,945.82
Winter Promo,2022-09-23,1075,1443.68
Winter Promo,2022-01-16,1149,1052.92
Winter Promo,2022-06-11,1190,935.43
Winter Promo,2022-06-25,1068,1548.07
Winter Promo,2022-08-01,1107,1194.02
Winter Promo,2022-08-18,1176,1430.09
Winter Promo,2022-09-06,1194,1371.57
Winter Promo,2022-03-21,1174,1095.7
Winter Promo,2022-07-03,1115,1434.24
Winter Promo,2022-03-08,1155,-1125.63
Winter Promo,2022-07-19,1094,1035.21
Winter Promo,2022-06-18,1086,745.99
Winter Promo,2022-01-19,1034,940.58
Winter Promo,2022-11-28,1108,1506.65
Winter Promo,2022-06-11,1157,526.09
Winter Promo,2022-12-24,1096,1126.65
Winter Promo,2022-10-23,1104,896.66
Winter Promo,2022-03-15,1148,1176.51
Winter Promo,2022-03-28,1142,687.26
Winter Promo,2022-02-05,1186,1109.69
Winter Promo,2022-11-23,1058,444.27
Winter Promo,2022-09-17,1007,492.93
Winter Promo,2022-11-12,1150,887.66
Winter Promo,2022-03-03,1123,656.66
Winter Promo,2022-01-03,1197,1370.23
Winter Promo,2022-06-10,1074,1071.81
Winter Promo,2022-07-08,1093,622.88
Winter Promo,2022-07-07,1167,-1023.34
Winter Promo,2022-12-09,1062,480.0
Winter Promo,2022-01-04,1193,995.28
Winter Promo,2022-01-11,1053,1349.48
Winter Promo,2022-06-11,1157,1173.65
Winter Promo,2022-12-20,1012,1199.53
Winter Promo,2022-02-01,1172,901.99
Winter Promo,2022-05-18,1141,1290.2
Winter Promo,2022-06-14,1043,1206.99
Winter Promo,2022-06-14,1063,979.98
Winter Promo,2022-08-27,1102,770.51
Winter Promo,2022-09-26,1030,1410.67
Winter Promo,2022-01-18,1110,998.7
Winter Promo,2022-11-12,1025,875.9
Winter Promo,2022-05-28,1103,925.82
Winter Promo,2022-06-03,1008,962.43
Winter Promo,2022-03-02,1105,638.26
Winter Promo,2022-09-23,1196,1104.7
Winter Promo,2022-08-12,1047,682.76
Winter Promo,2022-03-21,1175,942.9
Winter Promo,2022-09-12,1028,527.67
Winter Promo,2022-07-27,1161,1491.68
Winter Promo,2022-05-05,1127,844.58
Winter Promo,2022-09-16,1155,558.3
Winter Promo,2022-01-25,1020,490.29
