"code","year","income_group","gross_savings"
"ABW",2015,"High income",14.86785151
"AGO",2015,"Lower middle income",25.02132654
"ALB",2015,"Upper middle income",16.8639814
"ARG",2015,"Upper middle income",14.28730262
"ARM",2015,"Upper middle income",18.43038559
"ATG",2015,"High income",7.051264504
"AUS",2015,"High income",22.70271367
"AUT",2015,"High income",25.65331339
"AZE",2015,"Upper middle income",28.12191969
"BDI",2015,"Low income",11.22352302
"BEL",2015,"High income",25.00867822
"BEN",2015,"Lower middle income",13.86203006
"BFA",2015,"Low income",11.85934408
"BGD",2015,"Lower middle income",36.73376986
"BGR",2015,"Upper middle income",22.19285141
"BHR",2015,"High income",23.59933328
"BHS",2015,"High income",20.76599826
"BIH",2015,"Upper middle income",11.00677569
"BLR",2015,"Upper middle income",28.9087752
"BLZ",2015,"Lower middle income",13.1532771
"BMU",2015,"High income",39.94720496
"BOL",2015,"Lower middle income",14.21692552
"BRA",2015,"Upper middle income",14.52934719
"BRB",2015,"High income",5.338419246
"BRN",2015,"High income",57.11833733
"BTN",2015,"Lower middle income",23.39981019
"BWA",2015,"Upper middle income",36.40472153
"CAN",2015,"High income",19.56936363
"CHE",2015,"High income",35.83819318
"CHL",2015,"High income",21.29965345
"CHN",2015,"Upper middle income",45.41758655
"CIV",2015,"Lower middle income",22.52951586
"CMR",2015,"Lower middle income",14.31569394
"COD",2015,"Low income",13.34708291
"COG",2015,"Lower middle income",40.45683662
"COL",2015,"Upper middle income",17.27934453
"COM",2015,"Lower middle income",13.35659827
"CPV",2015,"Lower middle income",28.15598428
"CRI",2015,"Upper middle income",14.62254549
"CUW",2015,"High income",20.01322584
"CYP",2015,"High income",13.23105533
"CZE",2015,"High income",27.09377506
"DEU",2015,"High income",28.32917186
"DJI",2015,"Lower middle income",25.67934937
"DMA",2015,"Upper middle income",5.806906693
"DNK",2015,"High income",28.87395985
"DOM",2015,"Upper middle income",21.34618314
"DZA",2015,"Lower middle income",36.48792155
"ECU",2015,"Upper middle income",24.31730415
"EGY",2015,"Lower middle income",9.593464708
"ESP",2015,"High income",21.01797741
"EST",2015,"High income",27.57829304
"ETH",2015,"Low income",29.52215852
"FIN",2015,"High income",20.89132927
"FJI",2015,"Upper middle income",22.69130908
"FRA",2015,"High income",22.25486926
"GAB",2015,"Upper middle income",38.37799673
"GBR",2015,"High income",12.5285819
"GEO",2015,"Upper middle income",14.47205091
"GHA",2015,"Lower middle income",21.22924497
"GIN",2015,"Low income",-7.384262066
"GMB",2015,"Low income",18.89235541
"GNB",2015,"Low income",10.08902971
"GRC",2015,"High income",10.68422082
"GTM",2015,"Upper middle income",13.57516993
"HKG",2015,"High income",24.85857296
"HND",2015,"Lower middle income",19.80347622
"HRV",2015,"High income",22.58662415
"HTI",2015,"Lower middle income",12.26354481
"HUN",2015,"High income",25.32450731
"IDN",2015,"Lower middle income",30.12335649
"IND",2015,"Lower middle income",32.4539249
"IRL",2015,"High income",30.19375006
"IRQ",2015,"Upper middle income",25.07153866
"ISL",2015,"High income",19.64533352
"ISR",2015,"High income",25.11075537
"ITA",2015,"High income",18.52159713
"JAM",2015,"Upper middle income",18.23163596
"JOR",2015,"Upper middle income",16.00625901
"JPN",2015,"High income",28.17891582
"KAZ",2015,"Upper middle income",27.64339216
"KEN",2015,"Lower middle income",6.804465304
"KGZ",2015,"Lower middle income",12.17321923
"KHM",2015,"Lower middle income",20.73817136
"KIR",2015,"Lower middle income",76.17822109
"KOR",2015,"High income",36.34860305
"KWT",2015,"High income",30.91583879
"LAO",2015,"Lower middle income",10.74736536
"LBN",2015,"Upper middle income",2.378730109
"LKA",2015,"Lower middle income",28.82351401
"LSO",2015,"Lower middle income",27.20106791
"LTU",2015,"High income",18.82686259
"LUX",2015,"High income",17.80848169
"LVA",2015,"High income",23.16796841
"MAC",2015,"High income",48.65932669
"MAR",2015,"Lower middle income",28.85054322
"MDA",2015,"Upper middle income",17.79076484
"MDG",2015,"Low income",12.9239849
"MDV",2015,"Upper middle income",24.26242983
"MEX",2015,"Upper middle income",21.7615082
"MHL",2015,"Upper middle income",33.0003958
"MKD",2015,"Upper middle income",28.47775079
"MLI",2015,"Low income",15.43661547
"MLT",2015,"High income",27.46807478
"MMR",2015,"Lower middle income",30.83989413
"MNE",2015,"Upper middle income",9.117513909
"MNG",2015,"Lower middle income",16.40055943
"MOZ",2015,"Low income",12.64285688
"MRT",2015,"Lower middle income",21.47316094
"MUS",2015,"Upper middle income",16.07172604
"MYS",2015,"Upper middle income",28.39914484
"NAM",2015,"Upper middle income",16.28904885
"NER",2015,"Low income",24.16964269
"NGA",2015,"Lower middle income",17.00218848
"NIC",2015,"Lower middle income",23.48869249
"NLD",2015,"High income",28.77797422
