2024-12-01,"$111,185.08","$45,903.43","$65,281.65",92
2024-12-02,"$195,875.89","$102,513.68","$93,362.21",191
2024-12-03,"$333,906.12","$159,384.29","$174,521.83",278
2024-12-04,"$359,312.59","$217,468.66","$141,843.93",357
2024-12-05,"$440,433.44","$241,626.93","$198,806.51",424
2024-12-06,"$532,869.66","$256,756.10","$276,113.56",474
2024-12-07,"$505,187.46","$277,487.54","$227,699.92",506
2024-12-08,"$587,963.17","$358,399.88","$229,563.29",555
2024-12-09,"$634,693.22","$301,765.18","$332,928.04",543
2024-12-10,"$609,082.31","$332,152.82","$276,929.49",605
2024-12-11,"$622,266.43","$329,828.97","$292,437.46",576
2024-12-12,"$704,935.14","$306,138.09","$398,797.05",602
2024-12-13,"$671,538.71","$384,443.81","$287,094.90",612
2024-12-14,"$682,838.16","$306,843.81","$375,994.35",604
2024-12-15,"$676,497.62","$311,019.46","$365,478.16",592
2024-12-16,"$716,329.00","$340,393.16","$375,935.84",620
2024-12-17,"$691,679.67","$290,687.54","$400,992.13",576
2024-12-18,"$706,803.29","$331,931.23","$374,872.06",641
2024-12-19,"$675,880.95","$290,836.45","$385,044.50",597
2024-12-20,"$667,129.98","$345,357.69","$321,772.29",599
2024-12-21,"$669,344.10","$334,956.96","$334,387.14",585
2024-12-22,"$708,910.83","$349,687.78","$359,223.05",626
2024-12-23,"$669,613.99","$410,498.04","$259,115.95",630
2024-12-24,"$635,665.47","$341,939.07","$293,726.40",623
2024-12-25,"$653,122.35","$392,235.97","$260,886.38",632
2024-12-26,"$723,194.58","$363,860.42","$359,334.16",627
2024-12-27,"$640,870.57","$332,706.93","$308,163.64",600
2024-12-28,"$753,627.52","$314,351.84","$439,275.68",594
2024-12-29,"$715,619.19","$331,989.65","$383,629.54",623
2024-12-30,"$660,068.55","$341,324.03","$318,744.52",603
2024-12-31,"$657,458.42","$368,284.99","$289,173.43",626
